href	user	timestamp	text	replies	reposts	likes	views
/RivilleSide7/status/1783691231102718272	Riville	2024-04-26T02:55:03.000Z	Itu beda cerita klo wasit nya QaVar yg muncul	0	0	1	420
/whitesu04472406/status/1783799803413197204	Reograwrrr	2024-04-26T10:06:29.000Z	MEET UP NENEK² DORI sambil poca piknik \nGa nyangka bisa ketemu dan ngeteh offline wkwkwk \nSehat² suhu badut, wasit jajan dan aku anak bawang~ \n\nKapan kita main lagi?	2	2	14	590
/winarnoagus1206/status/1783719926865539175	Agus Winarno	2024-04-26T04:49:05.000Z	Kalo menang dan dilantik ..dibantuin wasit kalo w dibarisan yg menang juga malu ...mending kalah terhormat hehe	0	0	0	5
/winarnoagus1206/status/1783719656379060685	Agus Winarno	2024-04-26T04:48:00.000Z	Beda ya pak yg menang  dibantuin wasit ..pasti menang juga malu....hahhaa..saya ikut malu kalo menang mah	0	0	0	12
/MafiaWasit/status/1783867455506612319	Komisi Wasit	2024-04-26T14:35:18.000Z	Yang di Jawa pada bangga rela begadang tengah malam demi Nobar Timnas, padahal di Manokwari dan sekitarnya banyak juga yang bahkan sampai matahari dah tersenyum masih pada belum cabut demi Timnas Indonesia tercinta.	303	3474	20637	748388
/winarnoagus1206/status/1783720255132750198	Agus Winarno	2024-04-26T04:50:23.000Z	Beda banget pak yg menang di bantuin wasit ...ujung2 kalah ya jadi pecundang ...dibarisan yg menang harus nya malu hehehe ..tapi ini ngga pada bangga ...pada sehat ngga ya pak ?	0	0	0	13
/turunminum_id/status/1783681794732425661	turunminumid	2024-04-26T02:17:33.000Z	Menarik, Laga Timnas Indonesia U-23 vs Korea Selatan U-23 di Perempat Final Piala Asia U-23 Dikawal 2 Wasit Wanita	0	0	0	110
/idextratime/status/1783703613539508490	Extra Time Indonesia	2024-04-26T03:44:15.000Z	Post apresiasi untuk wasit asal Australia, Shaun Evans, atas kepemimpinan adil dan bijaknya dalam laga malam ini. Thanks coach! 	100	209	2814	108652
/MafiaWasit/status/1783651593143116039	Komisi Wasit	2024-04-26T00:17:33.000Z	Jangankan Jerman,\nNegara Sendiri aja gua pulangin bos!\n\nDoha, 26 April 2024\n\n  - Shin tae Yong -	13	128	500	45625
/MafiaWasit/status/1783689506731991367	Komisi Wasit	2024-04-26T02:48:12.000Z	Menolak Lupa\n\n- TRIO BELANDA DI INT*R -	59	105	768	103917
/MafiaWasit/status/1783796402918916382	Komisi Wasit	2024-04-26T09:52:58.000Z	FT: 300juta 	11	15	227	41205
/MafiaWasit/status/1783858898577060346	Komisi Wasit	2024-04-26T14:01:18.000Z	Setelah Persija bisa menang lawan RANS tadi, apakah di laga terakhir nanti:\n- Madura United bisa menang lawan Arema yang mana?\n- Persib apakah melepas laga terakhir di Manahan?\n- Bali United rebahan di kandang Persita?\n- PSM kalah lawan RANS di Batakan?	116	108	766	157034
